,subject,condition,stimulus,memory_condition,phase,buttonPressedCertainty,Low,High,Low_and_High
10519,124,CS+,tools/shovel.jpg,New,4,2,1,0,1
10520,124,CS+,tools/pliers.jpg,Old,1,3,0,0,0
10521,124,CS+,tools/wrench.jpg,Old,2,2,1,0,1
10522,124,CS+,tools/crank.jpg,New,4,4,0,0,0
10523,124,CS+,tools/electricsewingmachine.jpg,New,4,4,0,0,0
10524,124,CS-,animals/cat.jpg,Old,3,2,1,0,1
10525,124,CS-,animals/baboon.jpg,Old,1,1,0,1,1
10526,124,CS+,tools/magnifyingglass.jpg,New,4,3,0,0,0
10527,124,CS-,animals/lizard.jpg,New,4,2,1,0,1
10528,124,CS-,animals/lion.jpg,New,4,2,1,0,1
10529,124,CS+,tools/spoon.jpg,Old,2,3,0,0,0
10530,124,CS-,animals/partridge.jpg,Old,2,2,1,0,1
10531,124,CS-,animals/waterbuffalo.jpg,Old,1,3,0,0,0
10532,124,CS+,tools/paintroller.jpg,Old,1,4,0,0,0
10533,124,CS+,tools/stethoscope.jpg,New,4,4,0,0,0
10534,124,CS-,animals/macaw.jpg,New,4,1,0,1,1
10535,124,CS+,tools/duffelbag.jpg,Old,3,3,0,0,0
10536,124,CS+,tools/hammer.jpg,Old,3,2,1,0,1
10537,124,CS-,animals/clownfish.jpg,New,4,3,0,0,0
10538,124,CS-,animals/turkey.jpg,Old,2,3,0,0,0
10539,124,CS-,animals/perch.jpg,Old,3,2,1,0,1
10540,124,CS+,tools/weldinghelmet.jpg,Old,1,1,0,1,1
10541,124,CS-,animals/brown_bear.jpg,Old,2,1,0,1,1
10542,124,CS+,tools/smartphone.jpg,New,4,4,0,0,0
10543,124,CS-,animals/penguin.jpg,New,4,3,0,0,0
10544,124,CS-,animals/lobsterspiny.jpg,New,4,3,0,0,0
10545,124,CS+,tools/staplegun.jpg,New,4,4,0,0,0
10546,124,CS-,animals/chipmunk.jpg,Old,2,2,1,0,1
10547,124,CS-,animals/cow.jpg,Old,1,3,0,0,0
10548,124,CS-,animals/quail.jpg,Old,1,1,0,1,1
