trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
187,4,animal,0,0,animals,1,a_114.png,114,tbd,896.580730017984,899.516449582417,901.584806081355,1.83832179547583,0,1,2.02196433926656,2,1.81871545807007
188,4,animal,0,0,animals,1,a_086.png,86,tbd,903.419631151013,906.221914243702,909.491233092067,1.71242438972918,0,2,3.24636364474645,1,0.985587887578731
189,4,animal,0,0,animals,1,a_103.png,103,tbd,910.492030236626,913.094158337452,913.761361229615,1.51231875687289,0,2,0.633728684369999,3,1.05657079449884
190,3,tool,0,1,animals,1,t_310.png,310,tbd,914.828905834998,917.247540981083,917.931418577791,1.3182391332147,0,2,0.638517352232157,3,0.316628388041863
191,2,animal,0,1,animals,1,a_027.png,27,tbd,918.265033256987,920.516859731622,921.033940567369,1.16529969988704,0,1,0.462298923357594,4,0.62825452211473
192,1,animal,0,1,animals,1,a_037.png,37,tbd,921.667791001848,924.38667495552,925.454203108013,1.63388794623443,0,1,1.02064247984526,3,0.3211311697778
193,4,animal,0,0,animals,1,a_088.png,88,tbd,925.787814134044,928.756898339267,929.157213941471,1.87380318446441,0,2,0.359583867491892,3,1.76030783080569
194,4,tool,0,0,animals,1,t_190.png,190,tbd,930.925328411551,933.660873351142,934.845176973424,1.6519201230991,0,1,1.14180260314606,1,0.216518283003097
195,3,animal,0,1,animals,1,a_063.png,63,tbd,935.078703566829,937.430614460456,941.100260734911,1.25764419179023,0,1,3.61736008346634,1,0.620676926759188
196,4,tool,0,0,animals,1,t_199.png,199,tbd,941.734100003014,944.236145484167,944.636468852164,1.41293993069106,0,2,0.36391911181272,3,0.678638621244318
197,4,animal,0,0,animals,1,a_080.png,80,tbd,945.320367171546,948.372846152994,951.308565260384,1.96525532540143,0,1,2.88445882182714,1,1.75478178008416
