"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
83,3,"animal",0,1,"animals",1,"a_172.png",172,"tbd",244.100090200821,245.334318727517,245.617834362066,0.142383568876936,0,1,0.236625105420899,3,0.680151849412141
84,4,"tool",0,0,"animals",1,"t_306.png",306,"tbd",246.318473777011,248.102991656152,248.536635288765,0.688992351382372,0,2,0.387040792003063,4,0.742526763222486
85,3,"tool",0,1,"animals",1,"t_227.png",227,"tbd",249.287334682877,250.738276948302,251.138577326215,0.358794774486345,0,1,0.346800788245673,4,0.421580519921918
86,4,"tool",0,0,"animals",1,"t_285.png",285,"tbd",251.572354695113,252.906531500079,253.306932646728,0.235461663112996,0,1,0.358682479530216,3,0.47624724754678
87,4,"tool",0,0,"animals",1,"t_245.png",245,"tbd",253.79063159329,255.57517901882,255.875406401604,0.707413641673199,0,1,0.251116209314205,-1,0.44669494997288
88,2,"tool",0,1,"animals",1,"t_332.png",332,"tbd",256.325768624773,258.277210535174,258.727542589927,0.869053274803898,0,2,0.395196528216729,4,0.538887767836059
89,4,"animal",0,0,"animals",1,"a_105.png",105,"tbd",259.278058361011,260.912468147024,261.229279762051,0.550379589967552,0,1,0.26219859304274,2,0.524227471993072
90,4,"tool",0,0,"animals",1,"t_240.png",240,"tbd",261.763210678863,263.13076526115,263.614431862193,0.263017045212979,0,2,0.437806463329252,4,0.568313482463054
91,4,"tool",0,0,"animals",1,"t_331.png",331,"tbd",264.198366153513,265.315681487809,265.966263411702,0.0430282917970654,0,2,0.603111352510496,3,0.562408559007963
92,4,"animal",0,0,"animals",1,"a_115.png",115,"tbd",266.533427795055,268.251255432622,268.60153844037,0.621640071053211,0,2,0.309478101564309,3,0.504219590882713
93,3,"tool",0,1,"animals",1,"t_282.png",282,"tbd",269.118665548621,270.786512515747,271.120034945965,0.598678599621617,0,1,0.288328174792696,4,0.616833939293429
